epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9338,1.3505,2.74069,1.60765,0.65828,0.30625,0.31075,0.20554,1.51614,2.60993,1.79991,0.000409483,0.000409483,0.000409483
2,137.866,1.22255,1.99953,1.5078,0.33122,0.39703,0.30562,0.18024,1.48791,2.47762,1.84804,0.000809792,0.000809792,0.000809792
3,204.228,1.26338,1.90378,1.53756,0.30859,0.35759,0.278,0.15401,1.94033,2.84733,2.19819,0.0011936,0.0011936,0.0011936
4,272.334,1.24192,1.80893,1.52385,0.34368,0.46779,0.42086,0.25232,1.77345,3.01367,1.97755,0.00117575,0.00117575,0.00117575
5,340.31,1.20166,1.67826,1.49952,0.55547,0.40606,0.40319,0.24294,1.56236,2.10932,1.83464,0.001151,0.001151,0.001151
6,406.987,1.14597,1.5885,1.45486,0.58553,0.47895,0.51687,0.32856,1.40106,1.93107,1.69201,0.00112625,0.00112625,0.00112625
7,475.72,1.11663,1.54059,1.43865,0.57812,0.57126,0.57877,0.38682,1.23347,1.71528,1.45616,0.0011015,0.0011015,0.0011015
8,542.578,1.08407,1.49876,1.42193,0.62017,0.56054,0.54668,0.34732,1.52684,1.92102,1.77309,0.00107675,0.00107675,0.00107675
9,609.016,1.06055,1.45917,1.40811,0.59663,0.58484,0.57198,0.37503,1.58946,1.79909,1.94108,0.001052,0.001052,0.001052
10,677.728,1.05314,1.43835,1.3925,0.61835,0.56214,0.57403,0.38292,1.49089,1.87533,1.64752,0.00102725,0.00102725,0.00102725
11,746.483,1.01863,1.38003,1.35729,0.68641,0.64038,0.66854,0.45551,1.11151,1.38318,1.36467,0.0010025,0.0010025,0.0010025
12,812.916,1.01953,1.37976,1.37038,0.70728,0.6662,0.68493,0.47405,1.12806,1.38688,1.3673,0.00097775,0.00097775,0.00097775
13,880.615,0.98864,1.33047,1.35051,0.67402,0.64719,0.68016,0.46434,1.10277,1.4166,1.34941,0.000953,0.000953,0.000953
14,946.217,1.00273,1.34111,1.35409,0.68677,0.63218,0.67667,0.4692,1.07889,1.37297,1.31907,0.00092825,0.00092825,0.00092825
15,1012.7,0.96987,1.3057,1.33558,0.71226,0.62556,0.66648,0.46628,1.13621,1.48404,1.36998,0.0009035,0.0009035,0.0009035
16,1078.75,0.9568,1.28324,1.325,0.7042,0.63805,0.67969,0.47408,1.04489,1.44008,1.28434,0.00087875,0.00087875,0.00087875
17,1144.94,0.93065,1.25952,1.30573,0.74071,0.69623,0.72634,0.5143,0.98926,1.21612,1.26137,0.000854,0.000854,0.000854
18,1210.92,0.93302,1.22956,1.30534,0.73275,0.63694,0.70558,0.4895,1.14246,1.37993,1.34891,0.00082925,0.00082925,0.00082925
19,1276.62,0.91097,1.22329,1.30045,0.74131,0.67373,0.71085,0.51712,0.95671,1.22863,1.22609,0.0008045,0.0008045,0.0008045
20,1342.75,0.91701,1.20444,1.29825,0.73834,0.68292,0.73456,0.52839,0.94405,1.28519,1.20246,0.00077975,0.00077975,0.00077975
21,1409.72,0.89305,1.19866,1.28597,0.75914,0.70997,0.74707,0.54217,0.94608,1.17114,1.21781,0.000755,0.000755,0.000755
22,1476.02,0.89902,1.19488,1.2851,0.77884,0.71546,0.76652,0.55484,0.92335,1.12183,1.18308,0.00073025,0.00073025,0.00073025
23,1542.63,0.88907,1.18041,1.27101,0.76477,0.70166,0.7668,0.55097,0.90317,1.18653,1.1615,0.0007055,0.0007055,0.0007055
24,1609.17,0.86893,1.16401,1.26852,0.76465,0.70799,0.76015,0.55215,0.89442,1.19614,1.15831,0.00068075,0.00068075,0.00068075
25,1674.98,0.85769,1.14067,1.25665,0.77358,0.70534,0.75043,0.55115,0.86426,1.14099,1.14827,0.000656,0.000656,0.000656
26,1741.49,0.85602,1.13249,1.25954,0.80309,0.74375,0.79091,0.5864,0.86593,1.07249,1.1495,0.00063125,0.00063125,0.00063125
27,1807.05,0.83717,1.11602,1.24772,0.79399,0.74416,0.80177,0.60259,0.83372,1.04495,1.11822,0.0006065,0.0006065,0.0006065
28,1872.71,0.843,1.12889,1.2497,0.81095,0.74719,0.80105,0.59474,0.86666,1.08327,1.12609,0.00058175,0.00058175,0.00058175
29,1938.74,0.82651,1.11175,1.23937,0.80019,0.74548,0.80709,0.60557,0.8162,1.03548,1.09119,0.000557,0.000557,0.000557
30,2005.1,0.82082,1.09476,1.22535,0.79465,0.7432,0.79588,0.58985,0.90591,1.06594,1.19806,0.00053225,0.00053225,0.00053225
31,2072.03,0.81771,1.06938,1.22503,0.81503,0.76274,0.82025,0.62048,0.80236,1.02559,1.07236,0.0005075,0.0005075,0.0005075
32,2137.68,0.81738,1.06951,1.22365,0.81776,0.76684,0.82172,0.62404,0.76914,0.97265,1.05533,0.00048275,0.00048275,0.00048275
33,2203.59,0.7987,1.05369,1.22391,0.82573,0.76873,0.82776,0.63507,0.77404,0.95097,1.06561,0.000458,0.000458,0.000458
